Date,Price
2021-05-11,56573.5555
2021-05-12,52147.8212
2021-05-13,49764.1321
2021-05-14,50032.6931
2021-05-15,47885.6253
2021-05-16,45604.6158
2021-05-17,43144.4713
2021-05-18,43196.0465
2021-05-19,39439.2376
2021-05-20,39756.0898
2021-05-21,36921.7678
2021-05-22,37490.9419
2021-05-23,34259.5484
2021-05-24,38085.7894
2021-05-25,38290.4485
2021-05-26,38915.0048
2021-05-27,38717.7692
2021-05-28,34898.0087
2021-05-29,34535.5225
2021-05-30,35749.6557
2021-05-31,36929.4767
2021-06-01,36419.7495
2021-06-02,37422.5715
2021-06-03,38958.4928
2021-06-04,37190.1014
2021-06-05,34981.3807
2021-06-06,35335.6792
2021-06-07,34016.5653
2021-06-08,33504.2566
2021-06-09,37127.1897
2021-06-10,36715.0471
2021-06-11,37341.5894
2021-06-12,35655.1645
2021-06-13,38894.5563
2021-06-14,40162.3201
2021-06-15,40173.195
2021-06-16,38557.4792
2021-06-17,37722.0202
2021-06-18,35520.451
2021-06-19,35656.3047
2021-06-20,35681.134
2021-06-21,31659.5417
2021-06-22,32404.3304
2021-06-23,33532.2578
2021-06-24,34718.4749
2021-06-25,31622.0893
2021-06-26,31739.2902
2021-06-27,34213.0127
2021-06-28,34365.1858
2021-06-29,35945.7869
2021-06-30,34855.6445
2021-07-01,33533.5019
2021-07-02,33526.8533
2021-07-03,34404.9271
2021-07-04,35601.8655
2021-07-05,34096.8943
2021-07-06,34047.5476
2021-07-07,34206.4945
2021-07-08,32579.6679
2021-07-09,33994.677
2021-07-10,33543.7018
2021-07-11,34382.6507
2021-07-12,33032.3777
2021-07-13,32544.8449
2021-07-14,33003.8129
2021-07-15,31783.1713
2021-07-16,31596.2944
2021-07-17,31640.9181
2021-07-18,31537.8052
2021-07-19,30940.2873
2021-07-20,29608.5973
2021-07-21,32014.436
2021-07-22,32203.3656
2021-07-23,33117.7515
2021-07-24,34014.6184
2021-07-25,34574.6707
2021-07-26,37114.2966
2021-07-27,38963.9229
2021-07-28,39917.4494
2021-07-29,39810.518
2021-07-30,41157.1548
2021-07-31,41869.5525
2021-08-01,40263.3448
2021-08-02,39412.7165
2021-08-03,38368.174
2021-08-04,39831.0439
2021-08-05,40902.4756
2021-08-06,42608.545
2021-08-07,44095.7445
2021-08-08,44294.3073
2021-08-09,45990.9101
2021-08-10,45576.8889
2021-08-11,45793.3189
2021-08-12,44078.7607
2021-08-13,47654.729
2021-08-14,47004.3575
2021-08-15,47144.8426
2021-08-16,46181.7308
2021-08-17,44887.2428
2021-08-18,44811.6341
2021-08-19,46395.7967
2021-08-20,49061.8477
2021-08-21,49270.1972
2021-08-22,48971.6119
2021-08-23,49593.082
2021-08-24,48190.9521
2021-08-25,48907.5328
2021-08-26,47329.1497
2021-08-27,49033.3254
2021-08-28,48768.1901
2021-08-29,49184.2085
2021-08-30,47663.0225
2021-08-31,46919.5116
2021-09-01,48487.0112
2021-09-02,49725.5321
2021-09-03,49709.612
2021-09-04,49999.5556
2021-09-05,51693.8094
2021-09-06,52506.6856
2021-09-07,46897.6015
2021-09-08,46769.3144
2021-09-09,46404.3645
2021-09-10,44720.7556
2021-09-11,45253.1306
2021-09-12,45510.5632
2021-09-13,45097.7972
2021-09-14,47039.9499
2021-09-15,48125.1188
2021-09-16,47648.502
2021-09-17,47305.8054
2021-09-18,48020.7563
2021-09-19,47128.9352
2021-09-20,43831.2148
2021-09-21,41139.2629
2021-09-22,43478.4711
2021-09-23,44755.5719
2021-09-24,42877.9556
2021-09-25,42771.928
2021-09-26,43572.0849
2021-09-27,43136.5805
2021-09-28,41734.5711
2021-09-29,41412.6147
2021-09-30,43718.3777
2021-10-01,47797.704
2021-10-02,48083.4373
2021-10-03,48085.048
2021-10-04,48794.2102
2021-10-05,51459.0928
2021-10-06,55029.8743
2021-10-07,53770.2771
2021-10-08,54203.2983
2021-10-09,54854.8765
2021-10-10,54712.7212
2021-10-11,57284.9214
2021-10-12,56304.2388
2021-10-13,57517.1245
2021-10-14,57559.0644
2021-10-15,61273.8053
2021-10-16,60744.9849
2021-10-17,60965.4654
2021-10-18,61707.4813
2021-10-19,63901.0731
2021-10-20,65972.8631
2021-10-21,62603.5751
2021-10-22,60689.2383
2021-10-23,61124.3471
2021-10-24,60936.1509
2021-10-25,63004.3811
2021-10-26,60399.7349
2021-10-27,58602.2025
2021-10-28,60619.2669
2021-10-29,62302.7051
2021-10-30,61342.6016
2021-10-31,61374.2784
2021-11-01,61200.2258
2021-11-06,61469.9737
2021-11-07,62924.5219
2021-11-08,67633.6477
2021-11-09,67292.1376
2021-11-10,64859.7741
2021-11-11,65199.1669
2021-11-12,64036.8989
2021-11-13,64395.89
2021-11-14,64657.4241
2021-11-15,63758.4302
2021-11-16,60716.0985
2021-11-17,60049.9203
2021-11-18,56936.5162
2021-11-19,57896.1666
2021-11-20,59756.0242
2021-11-21,59023.2598
2021-11-22,56713.2581
2021-11-23,57653.9868
2021-11-24,57055.5833
2021-11-25,58890.5283
2021-11-26,54304.1282
2021-11-27,54877.4753
2021-11-28,56311.8779
2021-11-29,58186.1993
2021-11-30,57417.9453
2021-12-01,56983.4597
2021-12-02,56888.8579
2021-12-03,53597.3512
2021-12-04,49087.3957
2021-12-05,49251.8372
2021-12-06,50821.7619
2021-12-07,50423.1241
2021-12-08,50832.3828
2021-12-09,47735.5949
2021-12-10,47981.9379
2021-12-11,49127.1398
2021-12-12,50125.1898
2021-12-13,47004.6892
2021-12-14,48227.3464
2021-12-15,48845.6326
2021-12-16,47941.5421
2021-12-17,46009.7836
2021-12-18,46995.5819
2021-12-19,47024.5436
2021-12-20,46883.7404
2021-12-21,49105.252
2021-12-22,48904.4099
2021-12-23,50834.6267
2021-12-24,50850.5327
2021-12-25,50724.3176
2021-12-26,51136.2128
2021-12-27,50978.0504
2021-12-28,47499.1639
2021-12-29,47426.6259
2021-12-30,46894.8451
2021-12-31,46315.8215
2022-01-01,47471.441
2022-01-02,47372.7701
2022-01-03,46247.1071
2022-01-04,46232.3068
2022-01-05,43454.4692
2022-01-06,43144.0089
2022-01-07,41622.4043
2022-01-08,42211.4585
2022-01-09,42397.6195
2022-01-10,41716.8753
2022-01-11,42694.4484
2022-01-12,43935.0723
2022-01-13,42579.4785
2022-01-14,43291.2722
2022-01-15,43223.665
2022-01-16,43198.2274
2022-01-17,42293.9682
2022-01-18,42566.3152
2022-01-19,41983.101
2022-01-20,41208.0744
2022-01-21,36484.1358
2022-01-22,34959.3815
2022-01-23,35386.3769
2022-01-24,36440.1237
2022-01-25,36669.2301
2022-01-26,36480.9077
2022-01-27,36685.9026
2022-01-28,37905.7369
2022-01-29,38168.1823
2022-01-30,37680.239
2022-01-31,38564.1887
2022-02-01,38665.2179
2022-02-02,37216.137
2022-02-03,36889.0007
2022-02-04,40580.0143
2022-02-05,41662.7022
2022-02-06,41738.4867
2022-02-07,44124.5082
2022-02-08,44050.4273
2022-02-09,44573.151
